mask_type,mask_percentage,mean_probability_drop,std_probability_drop,mean_absolute_probability_change,std_absolute_probability_change,n
high,5,-0.4436687848297879,0.36114150433486314,0.45636855575721713,0.34457675383331676,45
high,10,-0.4154888134527331,0.3709526779728954,0.45722227970707335,0.31679153153725853,45
high,15,-0.36604653411389637,0.3780720498266553,0.449786249266213,0.2703112967108449,45
high,20,-0.3242625191471436,0.3980975067411156,0.4484203836647794,0.2456962200529225,45
high,30,-0.2531476313532848,0.4202422990419539,0.4356278023449704,0.21922406058606597,45
low,5,-0.01649554523691121,0.21065426011338936,0.13920108430449749,0.15759497949452006,45
low,10,-0.1369297963127287,0.2693905455376475,0.2279087763771208,0.19653052328784473,45
low,15,-0.22349700179313206,0.3161636375736751,0.30570540209559516,0.23551181567309368,45
low,20,-0.2669979307050299,0.32500206787575386,0.3372777276232632,0.2493848097495124,45
low,30,-0.35557481792186285,0.3578770441444086,0.4188780554130466,0.2791709001845501,45
random,5,-0.2987555130979874,0.3663573452361452,0.40009715802087964,0.24856631764277506,45
random,10,-0.17657036297799397,0.3624384329960882,0.35060417036163727,0.1937273491558212,45
random,15,-0.04415186160088827,0.39272696894862275,0.33893626709727365,0.19682355341926072,45
random,20,0.02952386260084394,0.38848127800024135,0.33726497173257586,0.18835163116943726,45
random,30,0.10336566189976616,0.40078141560998126,0.3350911628532534,0.23814908742502558,45
