mask_type,mask_percentage,mean_probability_drop,std_probability_drop,mean_absolute_probability_change,std_absolute_probability_change,n
high,5,-0.4436687848297879,0.3611415043348631,0.4563685557572171,0.3445767538333167,45
high,10,-0.4154888134527331,0.3709526779728954,0.4572222797070733,0.3167915315372585,45
high,15,-0.3660465341138963,0.3780720498266553,0.449786249266213,0.2703112967108449,45
high,20,-0.3242625191471436,0.3980975067411156,0.4484203836647794,0.2456962200529225,45
high,30,-0.2531476313532848,0.4202422990419539,0.4356278023449704,0.2192240605860659,45
low,5,-0.0164955452369112,0.2106542601133893,0.1392010843044974,0.15759497949452,45
low,10,-0.1369297963127287,0.2693905455376475,0.2279087763771208,0.1965305232878447,45
low,15,-0.223497001793132,0.3161636375736751,0.3057054020955951,0.2355118156730936,45
low,20,-0.2669979307050299,0.3250020678757538,0.3372777276232632,0.2493848097495124,45
low,30,-0.3555748179218628,0.3578770441444086,0.4188780554130466,0.2791709001845501,45
random,5,-0.2987555130979874,0.3663573452361452,0.4000971580208796,0.248566317642775,45
random,10,-0.1765703629779939,0.3624384329960882,0.3506041703616372,0.1937273491558212,45
random,15,-0.0441518616008882,0.3927269689486227,0.3389362670972736,0.1968235534192607,45
random,20,0.0295238626008439,0.3884812780002413,0.3372649717325758,0.1883516311694372,45
random,30,0.1033656618997661,0.4007814156099812,0.3350911628532534,0.2381490874250255,45
